등급,piece_id,작곡가,곡,영문,길이_분,상태,사유,위험,비고,MBID
A,103,C.P.E. 바흐,솔페지에토 C단조,Solfeggietto in C minor,1,대기,,낮음,,
A,104,C.P.E. 바흐,첼로 협주곡 A단조,Cello Concerto in A minor,25,대기,,낮음,,
A,105,C.P.E. 바흐,플루트 협주곡 D단조,Flute Concerto in D minor,22,대기,,낮음,,
A,106,C.P.E. 바흐,마니피카트 D장조,Magnificat in D major,40,대기,,낮음,,
A,107,J.C. 바흐,"신포니아 B♭장조 Op. 18, No. 2","Sinfonia in B♭ major ""Lucio Silla""",12,대기,,낮음,,
A,108,J.C. 바흐,신포니아 콘체르탄테 C장조,Sinfonia Concertante in C major,20,대기,,낮음,,
A,109,J.C. 바흐,비올라 협주곡 C단조 (카자드쉬 위작),"Viola Concerto in C minor (spurious, by Casadesus)",16,대기,,낮음,,
A,62,글루크,"<오르페오와 에우리디체> 중 ""정령들의 춤""","""Dance of the Blessed Spirits"" (from Orfeo ed Euridice)",7,대기,,낮음,,
A,63,글루크,"<오르페오와 에우리디체> 중 ""에우리디체 없이 어찌하리""","""Che farò senza Euridice?"" (from Orfeo ed Euridice)",5,대기,,낮음,,
A,175,글린카,가곡 <종달새>,The Lark (L'Alouette),4,대기,,낮음,,
A,197,드보르자크,"교향곡 9번 E단조 ""신세계로부터""","Symphony No. 9 in E minor ""From the New World""",45,대기,,낮음,,
A,198,드보르자크,첼로 협주곡 B단조,Cello Concerto in B minor,40,대기,,낮음,,
A,200,드보르자크,"현악 4중주 12번 F장조 ""아메리카""","String Quartet No. 12 in F major ""American""",28,대기,,낮음,,
A,201,드보르자크,유모레스크 7번 G♭장조,Humoresque No. 7 in G♭ major,3,대기,,낮음,,
A,221,드뷔시,목신의 오후에의 전주곡,Prélude à l'après-midi d'un faune,10,대기,,낮음,,
A,222,드뷔시,바다 (3개의 교향적 스케치),"La mer, trois esquisses symphoniques",24,대기,,낮음,,
A,223,드뷔시,어린이 차지 (모음곡),Children's Corner,18,대기,,낮음,,
A,456,드뷔시,꿈,Rêverie,4,대기,,낮음,,
A,230,라벨,볼레로,Boléro,15,대기,,낮음,,
A,233,라벨,피아노 협주곡 G장조,Piano Concerto in G major,22,대기,,낮음,,
A,234,라벨,발레 <다프니스와 클로에> 모음곡 2번,Ballet <Daphnis et Chloé> Suite No. 2,17,대기,,낮음,,
A,457,라벨,치건,Tzigane,10,대기,,낮음,,
A,227,라흐마니노프,파가니니 주제에 의한 광시곡,Rhapsody on a Theme of Paganini,24,대기,,낮음,,
A,228,라흐마니노프,보칼리제,Vocalise,6,대기,,낮음,,
A,455,라흐마니노프,전주곡 G단조,Prelude in G minor,4,대기,,낮음,,
